day,Parler Conservative,Twitter Liberal,Twitter Conservative
2020-10-09,,823.0,505.0
2020-10-10,,470.0,362.0
2020-10-11,,2039.0,1971.0
2020-10-12,,2235.0,1645.0
2020-10-13,1.0,,
2020-10-14,2.0,3027.0,994.0
2020-10-15,2.0,662.0,432.0
2020-10-16,1.0,31.0,29.0
2020-10-17,8.0,,
2020-10-19,3.0,,
2020-10-22,1.0,,
2020-10-24,2.0,,
2020-10-25,2.0,136.0,28.0
2020-10-26,4.0,1226.0,758.0
2020-10-27,2.0,329.0,430.0
2020-10-29,4.0,334.0,447.0
2020-10-30,,378.0,1476.0
2020-10-31,,1788.0,1490.0
2020-11-01,1.0,506.0,355.0
2020-11-02,8.0,519.0,703.0
2020-11-03,5.0,1380.0,1016.0
2020-11-04,,110.0,47.0
2020-11-05,7.0,133.0,164.0
2020-11-06,2.0,324.0,100.0
2020-11-07,,463.0,190.0
2020-11-08,1.0,436.0,398.0
2020-11-09,4.0,13312.0,23155.0
2020-11-10,49.0,1285.0,7776.0
2020-11-11,44.0,398.0,1256.0
2020-11-12,68.0,257.0,1094.0
2020-11-13,61.0,3552.0,5172.0
2020-11-14,29.0,1448.0,7541.0
2020-11-15,11.0,1973.0,7073.0
2020-11-16,9.0,3918.0,11144.0
2020-11-17,51.0,286.0,580.0
2020-11-18,43.0,2349.0,3329.0
2020-11-19,164.0,4405.0,2663.0
2020-11-20,87.0,4827.0,2255.0
2020-11-21,26.0,869.0,6365.0
2020-11-22,30.0,2335.0,9089.0
2020-11-23,106.0,1029.0,1632.0
2020-11-24,114.0,,
2020-11-25,113.0,692.0,1834.0
2020-11-26,29.0,774.0,961.0
2020-11-27,15.0,1272.0,3548.0
2020-11-28,,71.0,252.0
2020-11-29,2.0,1176.0,1487.0
2020-11-30,1.0,1085.0,2567.0
2020-12-01,7.0,,
2020-12-02,8.0,2876.0,853.0
2020-12-03,4.0,2970.0,1652.0
2020-12-04,7.0,3497.0,2697.0
2020-12-05,1.0,1457.0,954.0
2020-12-06,3.0,1307.0,758.0
2020-12-07,2.0,6665.0,3566.0
2020-12-08,,15215.0,3848.0
2020-12-09,1.0,1113.0,1923.0
2020-12-10,,3020.0,4498.0
2020-12-11,4.0,4329.0,6727.0
2020-12-12,,5.0,1.0
2020-12-13,,5.0,2.0
2020-12-14,,4699.0,5145.0
2020-12-15,,3109.0,3326.0
2020-12-16,,4998.0,1779.0
2020-12-17,,4326.0,3333.0
2020-12-18,,22213.0,5491.0
2020-12-19,,10693.0,5337.0
2020-12-20,,5142.0,2474.0
2020-12-21,2.0,6387.0,4835.0
2020-12-22,,1661.0,647.0
2020-12-23,,405.0,223.0
2020-12-24,,1564.0,622.0
2020-12-25,,1119.0,890.0
2020-12-26,,962.0,1539.0
2020-12-27,,944.0,1867.0
2020-12-28,3.0,2306.0,2157.0
2020-12-29,,5133.0,8369.0
2020-12-30,,11122.0,12773.0
2020-12-31,,3163.0,2266.0
2021-01-03,,20.0,17.0
2021-01-04,6.0,846.0,251.0
2021-01-05,4.0,,
2021-01-06,62.0,,
2021-01-07,142.0,,
2021-01-08,27.0,,
